Trap_ID,County,Longitude,Latitude,Peak_BSMoth,Peak_Carthuri,Total_BSMoth,Total_Carthuri,N_Visits,Combined_Score,Pest_Zone
CB001,Cav,-98.33432,48.74894,114.0,23.0,280.0,54.0,9,137.0,Medium
CB002,Cav,-98.47599,48.90606,153.0,55.0,447.0,152.0,9,208.0,High
CH001,Williams,-103.73878,48.12241,0.0,0.0,0.0,0.0,1,0.0,Low
CH002,Williams,-103.73878,48.12241,37.0,17.0,37.0,17.0,1,54.0,Medium
CH003,Williams,-103.87298,48.04591,0.0,0.0,0.0,0.0,1,0.0,Low
CH004,McKenzie,-102.87802,48.01386,43.0,18.0,43.0,18.0,1,61.0,Medium
CH005,McKenzie,-102.87695,48.01556,0.0,0.0,0.0,0.0,1,0.0,Low
CH006,Mountrail,-102.12912,47.99867,6.0,0.0,6.0,0.0,1,6.0,Low
CH007,Mountrail,-102.35261,48.02852,0.0,133.0,0.0,133.0,1,133.0,Medium
CH008,Williams,-102.9311,48.42724,0.0,1.0,0.0,1.0,1,1.0,Low
CH009,Williams,-103.09818,48.16671,0.0,0.0,0.0,0.0,1,0.0,Low
CH010,Williams,-103.09818,48.16671,4.0,69.0,4.0,69.0,1,73.0,Medium
CH011,Williams,-102.93753,48.1923,1.0,0.0,1.0,0.0,1,1.0,Low
CH012,Williams,-102.9472,48.19332,71.0,31.0,71.0,31.0,1,102.0,Medium
KA-001,FOS,-99.08466,47.31139,1.0,0.0,1.0,0.0,1,1.0,Low
KA-002,FOS,-99.08466,47.31139,21.0,2.0,21.0,2.0,1,23.0,Medium
KA-003,FOS,-99.08466,47.31139,113.0,17.0,113.0,17.0,1,130.0,Medium
KA-004,FOS,-99.08466,47.31139,154.0,3.0,154.0,3.0,1,157.0,High
KA-005,FOS,-99.08466,47.31139,201.0,70.0,201.0,70.0,1,271.0,High
KA-006,FOS,-99.08466,47.31139,140.0,17.0,140.0,17.0,1,157.0,High
MH003,CASS,-96.81599,46.89672,0.0,0.0,0.0,0.0,1,0.0,Low
MH004,CASS,-97.23194,46.88005,0.0,0.0,0.0,0.0,1,0.0,Low
MH005,CAS,-96.81599,46.89672,0.0,0.0,0.0,0.0,1,0.0,Low
MH006,CAS,-97.23194,46.88005,0.0,0.0,0.0,0.0,1,0.0,Low
MH007,CAS,-96.81599,46.89672,4.0,1.0,4.0,1.0,1,5.0,Low
MH008,CAS,-97.23194,46.88005,29.0,1.0,29.0,1.0,1,30.0,Medium
MH009,CAS,-96.81599,46.89672,40.0,15.0,40.0,15.0,1,55.0,Medium
MH010,CAS,-97.23194,46.88005,107.0,38.0,107.0,38.0,1,145.0,High
MH011,CAS,-96.81599,46.89672,106.0,47.0,106.0,47.0,1,153.0,High
MH012,CAS,-97.23194,46.88005,121.0,27.0,121.0,27.0,1,148.0,High
MH013,CAS,-96.81599,46.89672,139.0,50.0,139.0,50.0,1,189.0,High
MH014,CAS,-97.23194,46.88005,249.0,16.0,249.0,16.0,1,265.0,High
MH015,CAS,-96.81599,46.89672,72.0,41.0,72.0,41.0,1,113.0,Medium
MH016,CAS,-97.23194,46.88005,207.0,9.0,207.0,9.0,1,216.0,High
NB001,WARD,-101.2888,48.18015,129.0,92.0,420.0,277.0,4,221.0,High
NB002,MCLEAN,-101.20902,47.77564,178.0,60.0,423.0,156.0,4,238.0,High
bh1,Sta,-102.65367,46.97531,115.0,88.0,284.0,138.0,5,203.0,High
bh2,Gol,-103.98719,46.84683,111.0,30.0,322.0,48.0,4,141.0,Medium
